"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Stilla vatten REGL","Stenkulla Brunn AB","777917","Returglas","1033","","","","18x33 cl"
"Ramlösa Premium Mango Guava Mynta PET","Carlsberg Sverige AB","120708","PET","18656","","","","24x33 cl"
"Oddlygood Havredryck","Valio Sverige AB","120250","Havre-, risdryck odyl","209665","","","","10x1 l"
"Citron Lime PET","Saturnus AB","115966","PET","170510","","","","12x50 cl"
"Juice fläder EKO ENGL","Matkompaniet AB","112093","Juice drickfärdig: övriga smak","31054","","","","20x27,5 cl"
"Vitamin Well Prepare Zero","Vitamin Well AB","121454","Drickfärdiga drycker, övr smak","5090","","","","24x35,5 cl"
"Jarritos Mandarin ENGL","Mexreal Food AB","116763","Engångsförp, läsk odyl","SKU17788","","","","24x37 cl"
"Grape Tonic PET","Spendrups Bryggeri AB","109223","PET, läsk odyl","1308639","","","","18x33 cl"
"Soda rabarber EKO","Matkompaniet AB","117187","Engångsförp, läsk odyl","31028","","","","20x27,5 cl"
"Monster Ultra BRK","Coca-cola European Partners Pl","120662","Sportdrycker","0526","","","","24x35,5 cl"
"Äpplejuice KRAV","Skånemejerier Storhushåll AB","207927","Juice drickfärdig","56411","","","","6x1,75 l"
"Athena Mineralvat PET","Piwa Food AB","702959","PET","381441","","","","6x50 cl"
"Fun Light Vilda Bär PET","Orkla Foods Sverige","115644","Saft: övriga smaker","36716","","","","12x1 l"
"Red Bull 4p BRK","Red Bull Sweden AB","103603","Sportdrycker","36176","","","","6x4x25 cl"
"Chinotto","Enjoy Wine & Spirits AB","757677","Engångsförp, läsk odyl","4406","","","","24x20 cl"
"Hwila citron lime REGL","Åbro Bryggeri AB","101836","Returglas","224","","","","20x33 cl"
"Monin Päron","Barkonsult AB","789806","Drinkbaser","M23","","","","6x700 ml"
"Sweet & Sour drinkmix","Brewery Internat Sweden AB","107438","Drinkbaser","112001","","","","12x1 l"
"Kolsyrat vatten PET","Spendrups Bryggeri AB","115167","PET","1234542","","","","12x80 cl"
"Mountain Dew PET","Carlsberg Sverige AB","110913","PET, läsk odyl","11974","","","","12x50 cl"
"Vitamin Drink Mango Ingefära","Norrmejerier Ek.förening","120634","Sportdrycker","1536","","","","12x33 cl"
"Thomas Henry Mystic Mango","Berntson Brands AB","116606","Engångsförp, drinkvatten","4260310553313","","","","24x20 cl"
"Lapin Kulta 3,5% BRK","Arvid Nordquist Hab","121236","Folköl","49569","","","","4x6x50 cl"
"Schwepp Russchian PET","Spendrups Bryggeri AB","732049","PET, läsk odyl","1329443","","","","8x150 cl"
"Energidryck Passion Punch BRK","Coca-cola European Partners Pl","120088","PET, läsk odyl","7028","","","","24x35,5 cl"
"Athena citron PET","Piwa Food AB","730219","PET","381442","","","","6x50 cl"
"Mikkeller Ambler ENGL","Brill & Co AB","121264","Öl alkoholfri","1199603","","","","24x33 cl"
"Dryck Tranbär koncentrat","Kiviks Musteri AB","101446","Måltidsdricka konc, övrig smak","72666","","","","27x25 cl"
"Norrlands Guld Alkoholfri EKO","Spendrups Bryggeri AB","115534","Öl alkoholfri","1182211","","","","24x33 cl"
"Cider skogsbär burk 2,25% BRK","Åbro Bryggeri AB","104842","Cider alkoholhaltig","4012","","","","6x4x33 cl"
"Norrlands Guld 2,8% BRK","Spendrups Bryggeri AB","105137","Folköl","1146528","","","","4x6x50 cl"
"Måltidsdricka äpple","Fruktjuice I Enköping AB","744599","Måltidsdricka konc, äpple","3361-09","","","","1x9 l"
"Gainomax Recovery Jordgubb","Norrmejerier Ek.förening","117210","Proteindryck","1500","","","","16x25 cl"
"Juice Morot","Arla Foods AB","211165","Juice drickfärdig","66830","","","","4x30 cl"
"Lingondryck","Eckes Granini Sverige AB","102394","Måltidsdricka konc, lingon","1004710","","","","1x10 L"
"Moritz Alkoholfri","Multibev AB","119744","Öl alkoholfri","X5401MZ0202","","","","24x33 cl"
"Apple Select Express","Coffeeplease Home AB","408420","Juice koncentrerad","105236","","","","4x3835 ml"
"Tropicana Cloudy Apple","Orkla Foods Abba","119405","Juice drickfärdig","340027603","","","","4x1,5 l"
"JO Äpple koncentrerad juice","Arla Foods AB","206775","Juice koncentrerad","8972","","","","18x2 dl"
"Smoothie ekomellis Jordgubb Banan KRAV BRIK","Kalasföretaget Säljprofilen AB","118954","Smoothie","637025","","","","18x25 cl"
"Giffard Orgeat Syrup","Renbjer & Magnusson AB","719173","Drinkbaser","GSR008","","","","6x1 l"
"ü.NN IPA alkholfri","Wicked Wine Sweden AB","118527","Lättöl","KIA033","","","","24x33 cl"
"Loka Citron 12-p PET","Spendrups Bryggeri AB","123888","PET","1208439","","","","1x12x33 cl"
"Giffard Agave Syrup","Renbjer & Magnusson AB","717769","Drinkbaser","GSR009","","","","6x70 cl"
"Grapefruktjuice","Fontana Food AB","749449","Juice drickfärdig","17513","","","","12x1 l"
"Domaine de la Prade alkfri","Arvid Nordquist Hab","120232","Alkoholfritt alt","48943","","","","6x75 cl"
"Budweiser 3,5% EG","ABInbev Humulus Sweden","110902","Folköl","53049","","","","24x33 cl"
"Loka Grape Lime Returglas","Spendrups Bryggeri AB","119820","Returglas","1236200","","","","20x33 cl"
"Monin Irish","Barkonsult AB","767775","Drinkbaser","M53","","","","6x700 ml"
"Nocco Focus Cola BRK","Vitamin Well AB","115264","Burkar, läsk odyl","6070","","","","24x33 cl"
"Aranciata Apelsin BRK","Enjoy Wine & Spirits AB","107622","Burkar, läsk odyl","4208","","","","24x33 cl"
"Ramlösa Original PET","Carlsberg Sverige AB","115587","PET","14193","","","","8x150 cl"
"Barrels & Drums Sparkling Chardonnay","Enjoy Wine & Spirits AB","113506","Alkoholfritt alt","X50080543601","","","","6x75 cl"
"Kronenbourg 1664 Blanc Alkoholfri 25E","Carlsberg Sverige AB","120099","Öl alkoholfri","17742","","","","24x25 cl"
"Sprite PET","Coca-cola European Partners Pl","101861","PET, läsk odyl","4742","","","","4x2 l"
"Pepsi Max PET","Carlsberg Sverige AB","115518","PET, läsk odyl","21603","","","","8x150 cl"
"Juice Mandarin Morot EKO","Arla Foods AB","211402","Juice drickfärdig","69193","","","","6x85 cl"
"Smoothie Tropisk BIB","Kalasföretaget Säljprofilen AB","119669","Smoothie","647025","","","","3x3 L"
"Nocco BCAA+ Citrus Fläder BRK","Vitamin Well AB","112635","Burkar, läsk odyl","6020","","","","24x33 cl"
"Acqua Tonic","Enjoy Wine & Spirits AB","718532","Engångsförp, läsk odyl","4405","","","","24x20 cl"
"Ramlösa Smultron PET","Carlsberg Sverige AB","115598","PET","14182","","","","24x50 cl"
"Schweppes Pink Pepper","Spendrups Bryggeri AB","121363","Engångsförp, drinkvatten","2337610","","","","24x20 cl"
"Äpplejuice koncentrat","Skånemejerier Storhushåll AB","733494","Juice koncentrerad","56201","","","","12x1 l"
"Red Bull Blue BRK","Red Bull Sweden AB","113236","Sportdrycker","204171","","","","12x25 cl"
"Appletiser Apple ENGL","Coca-cola European Partners Pl","115676","Engångsförp, läsk odyl","0760","","","","24x27,5 cl"
"1724 Tonic Water","Fine Brands","114089","Engångsförp, drinkvatten","X5482009604","","","","1x24x20 cl"
"Schweppes Ginger Ale PET","Spendrups Bryggeri AB","732654","PET, läsk odyl","1329240","","","","24x50 cl"
"Celsius Äpple BRK","Peoples Choice AB","119262","Sportdrycker","10","","","","24x35,5 cl"
"Ramlösa Fläder Lime PET","Carlsberg Sverige AB","115603","PET","14189","","","","24x50 cl"
"Cider Magners alkholfri ENGL","Tomp Beer & Spirits AB","117646","Cider alkoholfri","400006","","","","24x33 cl"
"Ting Grapefruit BRK","Barkonsult AB","109074","Burkar, läsk odyl","Ting","","","","1x24x33 cl"
"Aquador Iste Persika PET","Saturnus AB","118608","Drickfärdiga drycker, övr smak","170257","","","","12x50 cl"
"Julmust light PET","Spendrups Bryggeri AB","103026","PET, läsk odyl","1303643","","","","8x150 cl"
"Guava","Hemberga Dryckesgrossisten AB","120906","Juice drickfärdig: övriga smak","1442","","","","12x1 l"
"Monin Gulbanan","Barkonsult AB","788932","Drinkbaser","M11","","","","6x700 ml"
"Pago Äpple EKO PET","Eckes Granini Sverige AB","106401","Juice drickfärdig: övriga smak","1001721","","","","12x33 cl"
"Red Bull Tropical Sockerfri","Red Bull Sweden AB","121465","Sportdrycker","219232","","","","12x25 cl"
"Monin Ananas","Barkonsult AB","789808","Drinkbaser","M24","","","","6x700 ml"
"Lingondryck lättsockrad 1+9","Orkla Foods Sverige","108748","Måltidsdricka konc, lingon","58076","","","","8x1 l"
"Ramlösa Granatäpp PET","Carlsberg Sverige AB","120683","PET","18840","","","","24x50 cl"
"Juice av körsbär","Dryck Sthlm AB","121669","Juice drickfärdig: övriga smak","3013","","","","12x33 cl"
"Herrgårdscider Rosé Hallon Fläder 0,3% ENGL","Kiviks Musteri AB","120199","Cider alkoholhaltig","60449","","","","12x27,5 cl"
"JO Apelsin konc juice","Arla Foods AB","206773","Juice koncentrerad","8971","","","","18x2 dl"
"Burn Original BRK","Coca-cola European Partners Pl","115677","Sportdrycker","7022","","","","24x35,5 cl"
"Dr Pepper BRK","Spendrups Bryggeri AB","106510","Burkar, läsk odyl","1369821","","","","24x33 cl"
"Fever Tree Aromatic","Galatea AB","119732","Engångsförp, drinkvatten","8725-04","","","","24x20 cl"
"Loka Crush Äpple PET","Spendrups Bryggeri AB","120420","PET, läsk odyl","1238540","","","","24x50 cl"
"Stoli Ginger Beer BRK","Multibev AB","116320","Burkar, läsk odyl","X5401SP0704","","","","12x25 cl"
"Fruktdryck 50 hallon björnbär","Proviva AB","205851","Fruktdryck","579920","","","","6x1 l"
"Måltidsdryck lingon","Fruktjuice I Enköping AB","101582","Måltidsdricka konc, lingon","3362-09","","","","1x9 l"
"Ramlösa Citrus PET","Carlsberg Sverige AB","115588","PET","14194","","","","8x150 cl"
"Monin White chocolate","Barkonsult AB","705292","Drinkbaser","M79","","","","6x700 ml"
"Ramlösa Hallon Björnbär PET","Carlsberg Sverige AB","115599","PET","14185","","","","24x50 cl"
"Coca-Cola vanilla BRK","Coca-cola European Partners Pl","108726","Burkar, läsk odyl","2411","","","","24x33 cl"
"Lingondricka koncentrat BIB","Carlsberg Sverige AB","103400","Måltidsdricka konc, lingon","21525","","","","1x10 l"
"Loka Päron PET","Spendrups Bryggeri AB","120319","PET","1206743","","","","8x150 cl"
"Fun Light Apelsin PET","Orkla Foods Sverige","121897","Saft: apelsin, citron","36016","","","","12x1 l"
"Juice Äpple","Innocent AB","207277","Juice drickfärdig","130066","","","","6x900 ml"
"Blandsaft Hallon PET","Orkla Foods Sverige","115655","Saft: hallon, jordgubb","34513","","","","12x950 ml"
"Mango pure","Brewery Internat Sweden AB","107527","Drinkbaser","112009","","","","12x1 l"
"Fruktdryck tranbär","Fontana Food AB","726433","Juice drickfärdig","17517","","","","12x1 l"
"Fanta Strawb Kiwi BRK","Coca-cola European Partners Pl","108727","Burkar, läsk odyl","3311","","","","24x33 cl"
"Smoothie Mango Passion","Skånemejerier Wrap Rls","210886","Smoothie","56592","","","","6x1 l"
"Pimento Gingembre Ginger Beerglasflaska","Renbjer & Magnusson AB","114257","Engångsförp, läsk odyl","PGB001","","","","20x25 cl"
"ICE Espresso FT EKO","Löfbergs Lila AB","208540","Drickfärdiga drycker, övr smak","10518","","","","12x230 ml"
"Vintermumma","Rescued Fruits AB","121875","Juicekoncentrat: övriga smaker","0023","","","","12x1 l"
"Måltidsdryck citron lime","Fruktjuice I Enköping AB","766768","Måltidsdricka konc, övrig smak","3366-09","","","","1x9 l"
"Monin Viol","Barkonsult AB","727649","Drinkbaser","M66","","","","6x700 ml"
"Aranciata Rossa Rosso Blodapelsin BRK","Enjoy Wine & Spirits AB","114389","Burkar, läsk odyl","4210","","","","24x33 cl"
"Smoothie Mango Apelsin 75 cl ENGL","Froosh Sverige AB","209000","Smoothie","750801","","","","6x75 cl"
"Caliente Organic Blueberry Lemongrass ChiliEKO ENGL","Caliente Beverages Int AB","118217","Drickfärdiga drycker, övr smak","7003","","","","12x25 cl"
"Crodino småflaskor","Nigab AB","117135","Alkoholfritt alt","194101","","","","6x8x10 cl"
"Soda Indian Tonic ENGL","Carlsberg Sverige AB","112658","Engångsförp, läsk odyl","12844","","","","24x27,5 cl"
"Arc-en-ciel Vin de Rosé MousseuxGrenache 200 ml EKO","Hermansson & Co AB","707945","Alkoholfritt alt","246193204","","","","24x20 cl"
"Schweppes Lemon PET","Spendrups Bryggeri AB","732047","PET, läsk odyl","1329343","","","","8x150 cl"
"Zingo Tropical PET","Carlsberg Sverige AB","108772","PET, läsk odyl","24052","","","","24x50 cl"
"Monin Melon","Barkonsult AB","767290","Drinkbaser","M20","","","","6x700 ml"
"Nygårda Julmust 33cl å-pet 12-pack","Spendrups Bryggeri AB","103030","PET, läsk odyl","1328039","","","","1x12x33 cl"
"Pepsi Cola BIB","Carlsberg Sverige AB","742253","Engångsförp, läsk odyl","21561","","","","1x10 l"
"Vitamin W Celebrate Zero","Vitamin Well AB","121544","Drickfärdiga drycker, övr smak","5100","","","","24x35,5 cl"
"Pink Grape juice konc","Eckes Granini Sverige AB","790047","Juicekoncentrat: övriga smaker","1004721","","","","1x10 l"
"Citronkoncentrat","Matkompaniet AB","111429","Juice koncentrerad","10434","","","","6x1 l"
"Loka Crush Citron PET","Spendrups Bryggeri AB","110855","PET, läsk odyl","1219040","","","","24x50 cl"
"Giffard Elderflower Syrup ENGL","Renbjer & Magnusson AB","115037","Drickfärdiga drycker, övr smak","GSR011","","","","6x1 l"
"Falcon Extra Brew 3,5% BRK","Carlsberg Sverige AB","105744","Folköl","22349","","","","4x6x50 cl"
"Juice Äpple Päron drickfärdig","Kiviks Musteri AB","107873","Drickfärdiga drycker, övr smak","71820","","","","10x1 l"
"Fun Light Citron Lime PET","Orkla Foods Sverige","116889","Saft: apelsin, citron","36216","","","","12x1 l"
"Briska Cider Päron Alkoholfri ENGL","Spendrups Bryggeri AB","107410","Cider alkoholfri","1718111","","","","24x33 cl"
"Monin Gurka","Barkonsult AB","108804","Drinkbaser","M95","","","","6x700 ml"
"Fentimans Ginger Beer","Dryck Sthlm AB","114286","Engångsförp, drinkvatten","2754","","","","12x27,5 cl"
"Fun Light Tropical Fruits PET","Orkla Foods Sverige","116895","Saft: övriga smaker","37216","","","","12x1 l"
"Pepsi Cola PET","Carlsberg Sverige AB","115516","PET, läsk odyl","21604","","","","8x150 cl"
"Hallonpure","Brewery Internat Sweden AB","103163","Drinkbaser","M874","","","","12x1 l"
"Richard Juhlin Sparkling Rose alkoholfri","Arvid Nordquist Hab","116271","Alkoholfritt alt","48886","","","","6x75 cl"
"Fentimans Botanical Tonic Water","Dryck Sthlm AB","113370","Engångsförp, drinkvatten","1257","","","","24x12,5 cl"
"Tonic Water Classic EKO","Matkompaniet AB","104818","Engångsförp, läsk odyl","31038","","","","12x25 cl"
"Ebony Vale Chardonnay alkoholfri","Amka Vinimport AB","116049","Alkoholfritt alt","X5366023601","","","","6x75 cl"
"Monin Ros","Barkonsult AB","717380","Drinkbaser","M41","","","","6x70 cl"
"Celsius Cola BRK","Peoples Choice AB","106955","Sportdrycker","4","","","","24x35,5 cl"
"Super smoothie recharge","Innocent AB","209309","Smoothie","237543","","","","8x360 ml"
"Dr Pepper PET","Spendrups Bryggeri AB","732646","PET, läsk odyl","1330140","","","","24x50 cl"
"Melleruds Alkoholfria Pilsner EKO 0,5%","Spendrups Bryggeri AB","118561","Öl alkoholfri","1184811","","","","24x33 cl"
"Julmust BRK","Spendrups Bryggeri AB","121797","Burkar, läsk odyl","1303721","","","","24x33 cl"
"Äppledryck osockrad","Orkla Foods Sverige","108750","Måltidsdricka konc, äpple","67276","","","","8x1 l"
"Stilla vatten nat PET","Saturnus AB","118578","PET","73170404","","","","6x1,25 l"
"Smoothie mango EKO","Matkompaniet AB","104813","Smoothie","31043","","","","12x25 cl"
"Blodapelsinjuice","Arla Foods AB","201888","Juice drickfärdig","731","","","","6x1 l"
"Juice röda bär KRAV ENGL","Saltå Kvarn AB","100986","Juice drickfärdig: övriga smak","5414","","","","6x20 cl"
"Dryck Citron Lime koncentrat","Kiviks Musteri AB","109550","Måltidsdricka konc, övrig smak","72247","","","","10x1 l"
"Meltzer Tonic Water ENGL EKO","Renbjer & Magnusson AB","118822","Engångsförp, drinkvatten","MTW001","","","","24x20 cl"
"Pink Lemonade ENGL","Herrljunga Cider AB","116280","Drickfärdiga drycker, citrus","LO300","","","","12x33 cl"
"Thomas Henry Ginger Ale","Berntson Brands AB","110787","Engångsförp, drinkvatten","4260310550091","","","","24x20 cl"
"Perrier Naturell ENGL","Hemberga Dryckesgrossisten AB","111730","Returglas","276","","","","12x75 cl"
"Festis Hallon Lakrits PET","Carlsberg Sverige AB","120700","Drickfärdiga drycker, övr smak","18756","","","","12x50 cl"
"Juice Morot","Arla Foods AB","211166","Juice drickfärdig","66797","","","","6x85 cl"
"Indi & Co Botanical Strawberry Tonic Ekologisk","Renbjer & Magnusson AB","120937","Drinkbaser","IST001","","","","24x20 cl"
"Schwepp Russchian pet","Spendrups Bryggeri AB","732662","PET, läsk odyl","1329440","","","","24x50 cl"
"Smoothie hallon EKO","Matkompaniet AB","104814","Smoothie","31041","","","","12x25 cl"
"Risdryck Original Kalcium","Arvid Nordquist Hab","114470","Havre-, risdryck odyl","47987","","","","12x1 l"
"Celcius Ananas Kokos BRK","Peoples Choice AB","120481","Sportdrycker","21","","","","24x35,5 cl"
"Vitamin Well +001 Original PET","Vitamin Well AB","115611","Sportdrycker","1110","","","","12x50 cl"
"Dryck Fläderblom Rabarber","Kiviks Musteri AB","107253","Drickfärdiga drycker, övr smak","73552","","","","10x1 l"
"Celsius Apelsin Granatäpple BRK","Peoples Choice AB","119953","Sportdrycker","12","","","","24x35,5 cl"
"Äppeljuice koncentrat","Kiviks Musteri AB","110675","Juicekoncentrat: övriga smaker","70975","","","","27x2 dl"
"Pärondryck","Kiviks Musteri AB","143219","Måltidsdricka konc, övrig smak","73833","","","","8x1,5 l"
"Grenadine","Brewery Internat Sweden AB","107524","Drinkbaser","112004","","","","12x1 l"
"Citrondryck extra light BIB","Roberts I Örebro AB","109575","Saft: apelsin, citron","5129","","","","1x10 l"
"Fever Tree Tonic","Galatea AB","109075","Engångsförp, drinkvatten","8592-01","","","","1x8x50 cl"
"Sprite Zero BRK","Coca-cola European Partners Pl","103670","Burkar, läsk odyl","4611","","","","24x33 cl"
"Rabarberdryck EKO ENGL","Bornholms Mosteri A S","111536","Engångsförp, läsk odyl","FSOR01","","","","20x27,5 cl"
"Nocco BCAA Skumtomte BRK","Vitamin Well AB","117441","Burkar, läsk odyl","6140","","","","24x33 cl"
"Pepsi Max Ginger BRK","Carlsberg Sverige AB","118396","Burkar, läsk odyl","16877","","","","24x33 cl"
"Loka citron PET","Spendrups Bryggeri AB","120295","PET","1200643","","","","8x150 cl"
"Athena Citron PET","Piwa Food AB","730226","PET","382462","","","","6x150 cl"
"Capri-Sun Safari Fruits","Coca-cola European Partners Pl","115178","Drickfärdiga drycker, citrus","1656","","","","4x10x20 cl"
"Smoothie Vitamin","Arla Foods AB","211258","Smoothie","66824","","","","4x30 cl"
"Pepsi Max Lime  BRK","Carlsberg Sverige AB","120688","Burkar, läsk odyl","18438","","","","24x33 cl"
"Victorian Lemon","Dryck Sthlm AB","112161","Engångsförp, drinkvatten","2757","","","","12x27,5 cl"
"7-up REGL","Carlsberg Sverige AB","107694","Returglas, läsk odyl","21947","","","","20x33 cl"
"Juice Äpple Apelsin Passionfrukt","Skånemejerier Storhushåll AB","204735","Juice drickfärdig","56145","","","","6x1 l"
"Capri-Sun Orange","Coca-cola European Partners Pl","115177","Drickfärdiga drycker, citrus","1756","","","","4x10x20 cl"
"Snapple Lemon Tea ENGL","Hemberga Dryckesgrossisten AB","116685","Drickfärdiga drycker, övr smak","1413","","","","12x47,3 cl"
"Loka Naturell 12-p PET","Spendrups Bryggeri AB","111224","PET","1201339","","","","1x12x33 cl"
"Dryck Lingon koncentrat","Kiviks Musteri AB","109545","Måltidsdricka konc, lingon","72607","","","","10x1 l"
"Nectar Fruits de la Passion Passionsfruktdryck","Dryck Sthlm AB","108987","Nektar","3024","","","","12x33 cl"
"Tropisk dryck osockrad","Orkla Foods Sverige","108755","Måltidsdricka konc, övrig smak","67676","","","","8x1 l"
"Pink Grapefruit Select","Coffeeplease Home AB","408422","Juice koncentrerad","105244","","","","4x3695 ml"
"Nils Oscar Alkoholfri Julöl","Nils Oscar AB","117420","Öl alkoholfri","159033","","","","20x33 cl"
"Fanta Orange PET","Coca-cola European Partners Pl","101860","PET, läsk odyl","3042","","","","4x2 l"
"Julmust Romlagrad ENGL","Spendrups Bryggeri AB","114823","Engångsförp, läsk odyl","1335911","","","","24x33 cl"
"Ramlösa Vattenmelon 50PET","Carlsberg Sverige AB","120114","PET","18636","","","","24x50 cl"
"Leitz Eins Zwei Zero Riesling, alkoholfri","Johan Lidby Vinhandel AB","118324","Alkoholfritt alt","11901","","","","12x75 cl"
"Fanta World Lemon PET","Coca-cola European Partners Pl","100799","PET, läsk odyl","3231","","","","24x50 cl"
"The Bitter Truth Rose Water Alkoholfri","Barkonsult AB","115105","Drinkbaser","00727","","","","12x12,5 cl"
"Monin Cassis sv vinbär","Barkonsult AB","757990","Drinkbaser","M27","","","","6x700 ml"
"Nocco BCAA Cassis BRK","Vitamin Well AB","117475","Burkar, läsk odyl","6150","","","","24x33 cl"
"Imsdal stilla källvatten sportscap","Carlsberg Sverige AB","108771","PET","24070","","","","20x65 cl"
"Blandsaft jordgubb 1+6","Orkla Foods Sverige","108742","Saft: hallon, jordgubb","51576","","","","8x1 l"
"Red Bull  Simply Cola EKO","Red Bull Sweden AB","121552","Sportdrycker","217534","","","","24x25 cl"
"Red Bull Bitter Lemon EKO BRK","Red Bull Sweden AB","121081","Sportdrycker","217535","","","","24x25 cl"
"Apelsinjuice koncentrat","Eckes Granini Sverige AB","117695","Juice koncentrerad","1006185","","","","12x1 l"
"Havredryck Kalcium laktosfri","Oatly AB","203986","Havre-, risdryck odyl","61479","","","","18x250 ml"
"Juice blåbär EKO ENGL","Matkompaniet AB","112098","Juice drickfärdig: övriga smak","31052","","","","20x27,5 cl"
"Vitamin Well Prepare Passion PET","Vitamin Well AB","120202","Drickfärdiga drycker, övr smak","1140","","","","12x50 cl"
"Red Bull BRK","Red Bull Sweden AB","103600","Sportdrycker","36190","","","","24x35,5 cl"
"Snapple Fruit Punsch ENGL","Hemberga Dryckesgrossisten AB","116681","Drickfärdiga drycker, övr smak","1405","","","","12x47,3 cl"
"Gainomax Recovery Blåbär","Norrmejerier Ek.förening","117214","Proteindryck","1504","","","","16x25 cl"
"Orange Select Express","Coffeeplease Home AB","408419","Juice koncentrerad","105231","","","","4x3 l"
"Soda Russian ENGL","Carlsberg Sverige AB","112663","Engångsförp, läsk odyl","12845","","","","24x27,5 cl"
"Apelsinläsk BRK","Piwa Food AB","104898","Burkar, läsk odyl","383841","","","","18x33 cl"
"Coca-Cola zero 20L BIB","Coca-cola European Partners Pl","121479","Engångsförp, läsk odyl","2866","","","","1x20 l"
"Loka Crush Ananas PET","Spendrups Bryggeri AB","118499","Burkar, läsk odyl","1237140","","","","24x50 cl"
"Monin Mango","Barkonsult AB","789804","Drinkbaser","M19","","","","6x700 ml"
"Margarita drinkmix","Brewery Internat Sweden AB","107441","Drinkbaser","112002","","","","12x1 l"
"Aloe Vera Melon PET","Vitamin Well AB","115266","Drickfärdiga drycker, övr smak","7080","","","","20x50 cl"
"Vatten Stilla PET","Add Value Sweden AB","114974","PET","10000232","","","","20x50 cl"
"Fruktdryck citron osockrad 1+9","Orkla Foods Sverige","108752","Saft: apelsin, citron","67476","","","","8x1 l"
"Red Bull SF BRK","Red Bull Sweden AB","107182","Sportdrycker","38456","","","","12x47,3 cl"
"Orangina PET","Spendrups Bryggeri AB","100235","PET, läsk odyl","1330240","","","","24x50 cl"
"Loka Melon Lime PET","Spendrups Bryggeri AB","120425","PET","1238740","","","","24x50 cl"
"Dryck Fläder koncentrat","Kiviks Musteri AB","109542","Måltidsdricka konc, övrig smak","72347","","","","10x1 l"
"Sprite Zero PET","Coca-cola European Partners Pl","120675","PET, läsk odyl","4631","","","","24x50 cl"
"Apelsinjuice konc 1+5 för maskin GR","Unique Beverage System AB","120847","Juice koncentrerad","2001","","","","1x10 l"
"Apelsinsaft koncentrat","Kiviks Musteri AB","115196","Saft: apelsin, citron","72035","","","","10x1 l"
"Monster Energy BRK","Coca-cola European Partners Pl","115176","Sportdrycker","0517","","","","24x50 cl"
"Monster Assault BRK","Coca-cola European Partners Pl","109977","Sportdrycker","506","","","","24x50 cl"
"Monster Energy Ultra citron BRK","Coca-cola European Partners Pl","117676","Sportdrycker","0519","","","","24x50 cl"
"Monster Energy Ultra Sunrise burk","Coca-cola European Partners Pl","115174","Sportdrycker","0518","","","","24x50 cl"
"Monster Energy Lewis Hamilton BRK","Coca-cola European Partners Pl","119277","Sportdrycker","0520","","","","24x50 cl"
"Svart te Persika Hibiskus PET","Coca-cola European Partners Pl","121048","Drickfärdiga drycker, övr smak","7111","","","","24x25 cl"
"Cider Fläder PET","Herrljunga Cider AB","102911","Cider alkoholfri","2323","","","","12x100 cl"
"Badoit Mineralvatten Naturligt Kolsyrat ENGL","Saturnus AB","104907","Returglas","7682","","","","12x75 cl"
"Coca-Cola light PET","Coca-cola European Partners Pl","101858","PET, läsk odyl","2142","","","","4x2 l"
"Pucko Mörk 1,6% ENGL","Arla Foods AB","118761","Chokladdryck","63947","","","","12x27 cl"
"Indi & Co Botanical Tonic","Renbjer & Magnusson AB","120825","Drinkbaser","IBT001","","","","24x20 cl"
"Flor de Jamaica KRAV ENGL","Renbjer & Magnusson AB","117056","Drickfärdiga drycker, övr smak","FDJ001","","","","20x33 cl"
"Svartvinbärsdryck Protein","Orkla Foods Sverige","109276","Drickfärdiga drycker, övr smak","16426","","","","8x1 l"
"Ananas Juice Jus Ananas","Dryck Sthlm AB","110053","Juice drickfärdig: övriga smak","3016","","","","12x33 cl"
"Sprite Zero Cucumber PET","Coca-cola European Partners Pl","120673","PET, läsk odyl","4724","","","","8x150 cl"
"Loranga Apelsin PET","Vasa Bryggeri Dryckesbolaget","703482","PET, läsk odyl","1112","","","","24x50 cl"
"Marie Brizard Syrup Coconut","Berntson Brands AB","117540","Drinkbaser","9228001","","","","6x70 cl"
"Smoothie Ananas Kokos Banan","Skånemejerier Wrap Rls","211424","Smoothie","56593","","","","6x1 l"
"Monin Äppelpaj","Barkonsult AB","111443","Drinkbaser","M64","","","","6x700 ml"
"Corona Extra 3,2% EG","ABInbev Humulus Sweden","103916","Folköl","52442","","","","24x35,5 cl"
"Apelsinjuice koncentrat KRAV","Eckes Granini Sverige AB","208826","Juice koncentrerad","1004718","","","","1x10 l"
"Vitamin Drick Kaktus Lime","Norrmejerier Ek.förening","120640","Sportdrycker","1537","","","","12x33 cl"
"Lime cordial drinkmix","Brewery Internat Sweden AB","107526","Drinkbaser","112006","","","","12x1 l"
"Blandsaft Svarta Vinbär PET","Orkla Foods Sverige","115667","Saft: svart vinbär","34606","","","","12x50 cl"
"Påskmust PET","Spendrups Bryggeri AB","120419","PET, läsk odyl","1305043","","","","8x150 cl"
"Nypondryck Liva Energi","Orkla Foods Sverige","100990","Drickfärdiga drycker, övr smak","16428","","","","8x1 l"
"Nygårda Fruktsoda 33cl EKO PET","Spendrups Bryggeri AB","120428","PET, läsk odyl","1376139","","","","18x33 cl"
"Smoothie Red BIB","Kalasföretaget Säljprofilen AB","120379","Smoothie","657025","","","","3x3 L"
