"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Apelsinjuice med fruktkött","Orkla Foods Abba","207859","Juice drickfärdig","340018750","","","","6x1 l"
"Loka naturell REGL","Spendrups Bryggeri AB","186134","Returglas","1201300","","","","20x33 cl"
"Coca-Cola zero PET","Coca-cola European Partners Pl","786343","PET, läsk odyl","2830","","","","24x50 cl"
"Loka naturell Brk","Spendrups Bryggeri AB","103252","Burk","1214821","","","","24x33 cl"
"Fanta Orange Engångsglas","Coca-cola European Partners Pl","113277","Engångsförp, läsk odyl","3028","","","","24x33 cl"
"Fanta Funky Orange Burk","Coca-cola European Partners Pl","103663","Burkar, läsk odyl","3011","","","","24x33 cl"
"Äppeljuice","Skånemejerier Storhushåll AB","204778","Juice drickfärdig","56141","","","","6x1 l"
"Trocadero BRK","Spendrups Bryggeri AB","108342","Burkar, läsk odyl","1369721","","","","24x33 cl"
"Coca-Cola PET","Coca-cola European Partners Pl","110404","PET, läsk odyl","2030","","","","24x50 cl"
"Apelsinjuice","Skånemejerier Storhushåll AB","204777","Juice drickfärdig","56140","","","","6x1 l"
"Lättöl 33cl 2,1% returglas","Spendrups Bryggeri AB","117653","Lättöl","1181700","","","","20x33 cl"
"Loka citron returglas","Spendrups Bryggeri AB","186135","Returglas","1200600","","","","20x33 cl"
"Coca-Cola zero Engångsglas","Coca-cola European Partners Pl","112717","Engångsförp, läsk odyl","2828","","","","24x33 cl"
"Loka citron BRK","Spendrups Bryggeri AB","103251","Burk","1214721","","","","24x33 cl"
"Red Bull BRK","Red Bull Sweden AB","103598","Sportdrycker","36178","","","","24x25 cl"
"Coca-Cola Engångsglas","Coca-cola European Partners Pl","112716","Engångsförp, läsk odyl","2028","","","","24x33 cl"
"Fanta Funky Orange PET","Coca-cola European Partners Pl","120130","PET, läsk odyl","3023","","","","8x150 cl"
"Pripps Blå kl I REGL","Carlsberg Sverige AB","185677","Lättöl","21534","","","","20x33 cl"
"Coca-Cola zero BRK","Coca-cola European Partners Pl","103667","Burkar, läsk odyl","2811","","","","24x33 cl"
"Coca-Cola BRK","Coca-cola European Partners Pl","103666","Burkar, läsk odyl","2011","","","","24x33 cl"
"Nygårda Cola REGL","Spendrups Bryggeri AB","121162","Returglas, läsk odyl","1301200","","","","20x33 cl"
"Juice Citron Färskpr","Ewerman AB","207451","Juice drickfärdig","4211","","","","1x1 l"
"Thomas Henry Tonic Water","Berntson Brands AB","110453","Engångsförp, drinkvatten","4260310550077","","","","24x20 cl"
"Äggviteskum Frothee","Barkonsult AB","742150","Drinkbaser","8-57","","","","12x237 ml"
"Juice Lime Färskpr","Ewerman AB","207453","Juice drickfärdig","4210","","","","6x1 l"
