"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"La Medusa Rosso","Oenoforos AB","714163","Italien","X5003LM0201","13","Italien","Oenoforos AB","12x75 cl"
"Sierra Tequlia Reposado","Nigab AB","705581","Tequila","8063701","38","Mexico","Sierra Destileria","6x70 cl"
"Marie Brizard Essence Estragon","Berntson Brands AB","722201","Likör","9226101","30","Frankrike","Marie Brizard","6x50 cl"
"St Bernadus Prior 8","Brewery Internat Sweden AB","722480","Ale","8924603","8","Belgien","","24x33 cl"
"Ca´Rugate Amarone della Valpolicella","Primewine Sweden AB","714552","Fylligt","7349201K","15","Italien","Az Agr ca Rugate","6x75 cl"
"Paso Creek Zinfandel","Philipson & Söderberg AB","711436","Fylligt","1015771","15","USA","","12x75 cl"
"Leffe Blond fat","ABInbev Humulus Sweden","725202","Veteöl","3410","6.6","Tyskland","","1x30 l"
"Imperial Palace NV","Oenoforos AB","707026","Torrt","8216401","13","Frankrike","Grand Vin de Gironde","6x75 cl"
"BrO's Vitlöksvodka","Grapes Svenska AB","713875","Smaksatt vodka","8423601","37.5","Sverige","_","6x70 cl"
"Strega Sambuca","Fine Brands","710812","Likörer av örter, frön eller b","X5482ST0201","40","Italien","Strega Alberti Benevento","6x70 cl"
"Vigneti del Sole Ripasso","Arvid Nordquist Hab","725832","Italien","50165","13.5","Italien","","6x75 cl"
"Drappier Carte d'Or","Vinovativa","716401","Frankrike","9032162","12.5","Frankrike","Champagne Franck Bonville","6x75 cl"
"Allegrini La Grola","Viva Wine & Spirits Group AB","725507","Vin, Sprit och Starköl","4233401","13.5","Italien","Allegrini","12x75 cl"
"Fabre Montmayou Reservado Malbec","Carovin AB","716676","Fylligt","7255301","14.5","Argentina","","12x75 cl"
"Les Vignerons Carignan/Syrah","Stellan Kramer AB","720929","Medel fylligt","X5031GP3301/12","12.5","Frankrike","","12x18,7 cl"
"Tempus Alba Syrah","Taste42 Sweden AB","722589","Fylligt","TEALSYH2010","14","Argentina","","6x75 cl"
"Earthbound Pinot Noir","Janake Wine Group AB","716411","Fylligt","3110618","14","Sydafrika","_","6x75 cl"
"Eriksberg Original BRK","Carlsberg Sverige AB","725372","Vin, Sprit och Starköl","22878","5.3","","","24x33 cl"
"Inycon Estate Chardonnay 2009 EKO","Nigab AB","702240","Torrt","1241801","14","Italien","Cantine Settesoli","12x75 cl"
"Torazzo EKO","Viva Wine & Spirits Group AB","719465","Medel fylligt","32GZPR002","13","Italien","_","6x75 cl"
"Barolo Cascina Ferrero","Primewine Sweden AB","725869","Fylligt","7686301","14","Italien","Tenuta Carretta","6x75 cl"
"Dolc Mataró EKO","Wine & Spirits Collective","711657","Sött","X5129AA0302","14.5","Spanien","","6x50 cl"
"Merlin Mâcon-La Roche-Vineuse","Wine & Spirits Collective","725635","Vin, Sprit och Starköl","7389701","12","Frankrike","Olivier Merlin","12x750 ml"
"Poliakov Vodka 37,5% 70cl","Bibendum AB","716593","Okryddat brännvin","1016853","37.5","Frankrike","La Martiniquaise","6x70 cl"
"Luz Millar Roble 6 meses","Viva Wine & Spirits Group AB","719260","Medel fylligt","32GZES002","14.5","Spanien","Bodegas Montelciego","12x75 cl"
"Gato Negro Cabernet Sauvignon","Pernod Ricard Sweden AB","771608","Chile","1000081","12.5","Chile","Viña San Pedro","24x25 cl"
"Taittinger Brut Reserve","We & Wine AB","771070","Torrt","742202","12","Frankrike","Taittinger","12x37,5 cl"
"Jean León Cabernet Sauvignon Reserva","Wine & Spirits Collective","771172","Spanien","8565301","12.5","Spanien","Jean León","12x75 cl"
"Villa Maria Riesling","We & Wine AB","774383","Torrt","8461701","13.5","Nya Zeeland","Villa Maria Estate","6x75 cl"
"Cinzano Extra Dry","Nigab AB","768750","Torrt","7617401","14.8","Italien","Cinzano","12x75 cl"
"Escapades Rosé","Carovin AB","719268","Sydafrika","7320201","13.5","Sydafrika","Escapade Winery","12x75 cl"
"The Ileach Single Malt","Symposion International AB","726034","Maltwhisky","51501/12","40","Storbritannien","Highlands & Islands Scotch Whi","12x70 cl"
"Fireball","Arcus Sweden AB","726035","Vin, Sprit och Starköl","8304601/6","33","Kanada","Sazerac Co. Inc","6x700 ml"
"Governo all Toscano","Pernod Ricard Sweden AB","726031","Fylligt","1050354","13.5","Italien","_","6x75 cl"
"Jurtschitsch Langenlois Grüner Veltliner EKO","Enjoy Wine & Spirits AB","725870","Österrike","269901","12","Österrike","Weingut Jurtschitsch","6x75 cl"
"Cigalus Rouge","Ward Wines AB","726039","Frankrike","7291401","15","Frankrike","Gerard Bertrand","6x75 cl"
"Brizard Watermelon","Berntson Brands AB","760535","Frukt-och bärlikörer","8122201","19.5","Frankrike","Marie Brizard","6x70 cl"
"Vietti Barbera d´Albra Tre Vigne","Fine Brands","722536","Fylligt","7893501","14","Italien","Vietti","6x75 cl"
